ACCIDENT_YEAR,MONTH,LATITUDE,LONGITUDE,NATIONAL_PARK
2023,9,37.26628112792969,-118.15653228759766,Death_Valley
2023,10,37.41920852661133,-118.55560302734376,Death_Valley
2023,10,36.24824142456055,-117.98975372314452,Death_Valley
2023,10,35.870059967041016,-117.88578033447266,Death_Valley
2023,10,37.239471435546875,-118.19837951660156,Death_Valley
2023,10,36.42824172973633,-117.26119232177734,Death_Valley
2023,10,36.04581069946289,-117.94721221923828,Death_Valley
2023,11,36.3484992980957,-117.33689880371094,Death_Valley
2023,11,37.3615608215332,-118.3964385986328,Death_Valley
2023,11,36.60408020019531,-118.06249237060548,Death_Valley
2023,11,37.19350814819336,-118.24929809570312,Death_Valley
2023,11,37.43228912353515,-117.9489974975586,Death_Valley
2023,12,36.45013046264648,-116.86022186279295,Death_Valley
2023,12,37.37580108642578,-118.39534759521484,Death_Valley
2023,12,36.513938903808594,-116.88191223144533,Death_Valley
2023,12,37.37590026855469,-118.41580963134766,Death_Valley
2023,12,37.32849884033203,-118.3928680419922,Death_Valley
2023,12,36.357810974121094,-116.64794921875,Death_Valley
2023,12,35.81930160522461,-117.87416839599608,Death_Valley
2024,1,37.541629791259766,-118.63995361328124,Death_Valley
2024,1,36.63996124267578,-117.03102111816406,Death_Valley
2024,1,36.32624816894531,-116.42278289794922,Death_Valley
2024,1,36.37446975708008,-116.67539978027344,Death_Valley
2024,1,37.37390899658203,-118.39195251464844,Death_Valley
2024,2,37.39263153076172,-118.39524841308594,Death_Valley
2024,2,37.348491668701165,-118.39510345458984,Death_Valley
2024,2,35.8238410949707,-116.32254791259766,Death_Valley
2024,2,37.37588882446289,-118.4321517944336,Death_Valley
2024,2,36.036468505859375,-117.94435119628906,Death_Valley
2024,2,36.08993911743164,-117.96150207519533,Death_Valley
2024,3,37.00910949707031,-118.2321319580078,Death_Valley
