National Park,Year,Month,Footfall
Sequoia,2024,7,149404
Sequoia,2024,8,118346
Sequoia,2024,9,72571
Sequoia,2024,10,57906
Sequoia,2024,11,52728
Sequoia,2024,12,41834
Yosemite,2015,1,133941
Yosemite,2015,2,141072
Yosemite,2015,3,202622
Yosemite,2015,4,292547
Yosemite,2015,5,423680
Yosemite,2015,6,565433
Yosemite,2015,7,648724
Yosemite,2015,8,659892
Yosemite,2015,9,545087
Yosemite,2015,10,370514
Yosemite,2015,11,175904
Yosemite,2015,12,145885
Yosemite,2016,1,145556
Yosemite,2016,2,210106
Yosemite,2016,3,299429
Yosemite,2016,4,316960
Yosemite,2016,5,474883
Yosemite,2016,6,728938
Yosemite,2016,7,809029
Yosemite,2016,8,717159
Yosemite,2016,9,620302
Yosemite,2016,10,499925
Yosemite,2016,11,227711
Yosemite,2016,12,167117
Yosemite,2017,1,124924
Yosemite,2017,2,124126
Yosemite,2017,3,173519
Yosemite,2017,4,315154
Yosemite,2017,5,170840
Yosemite,2017,6,588196
Yosemite,2017,7,656780
Yosemite,2017,8,636755
Yosemite,2017,9,586059
Yosemite,2017,10,445194
Yosemite,2017,11,226812
Yosemite,2017,12,132280
Yosemite,2018,1,134627
Yosemite,2018,2,148887
Yosemite,2018,3,177658
Yosemite,2018,4,289021
Yosemite,2018,5,400541
Yosemite,2018,6,563405
Yosemite,2018,7,522374
Yosemite,2018,8,457391
Yosemite,2018,9,542887
Yosemite,2018,10,373780
Yosemite,2018,11,224154
Yosemite,2018,12,326362
Yosemite,2019,1,121648
Yosemite,2019,2,116339
Yosemite,2019,3,180355
Yosemite,2019,4,308394
